genre,url
"[Driving, Racing, Simulation, GT / Street, GT / Street, Automobile]",juiced
"[Driving, Racing, Simulation, GT / Street, GT / Street, Automobile]",juiced-2-hot-import-nights
"[Action, Platformer, 2D]",juju
"[Simulation, Sci-Fi, Space, Large Spaceship, Civilian]",jumpgate-the-reconstruction-initiative
"[Action, Platformer, 2D]",jumpjet-rex
"[Strategy, Tycoon, Management, Tycoon, Business / Tycoon]",jurassic-park-operation-genesis
"[Adventure, General, General, Visual Novel, Point-and-Click]",jurassic-park-the-game
"[Action Adventure, Modern, Modern, Open-World]",just-cause
"[Action Adventure, Modern, Modern, Open-World]",just-cause-2
"[Sci-Fi, Action Adventure, Open-World]",just-cause-3
"[Action Adventure, Open-World]",just-cause-3-sky-fortress
"[Strategy, General, General, Management, Business / Tycoon]",mud-tv
"[Adventure, Puzzle, Action, General, General]",macguffins-curse
"[Adventure, General, Third-Person, General, Point-and-Click, Sci-Fi]",machinarium
"[Action, Action Adventure, General, General, Open-World]",mad-max
"[Action, Platformer, Platformer, 3D, 3D]",madagascar
"[Action, General, General]",madagascar-escape-2-africa
"[Action, General, General]",madballs-in-babo-invasion
"[Sports, Traditional, Team, Football, Sim, Sim]",madden-nfl-06
"[Sports, Traditional, Team, Football, Sim, Sim]",madden-nfl-07
"[Sports, Traditional, Team, Football, Sim, Sim]",madden-nfl-08
"[Sports, Traditional, Team, Football, Sim, Sim]",madden-nfl-2001
"[Sports, Traditional, Team, Football, Sim, Sim]",madden-nfl-2002
"[Sports, Traditional, Team, Football, Sim, Sim]",madden-nfl-2003
"[Sports, Traditional, Team, Football, Sim, Sim]",madden-nfl-2004
"[Sports, Traditional, Team, Football, Sim, Sim]",madden-nfl-2005
"[Action Adventure, Modern, General, Modern]",made-man-confessions-of-the-family-blood
"[Strategy, Real-Time, Sci-Fi]",maelstrom
"[Action Adventure, Historic, Historic, Open-World]",mafia
"[Action Adventure, Historic, General, Historic, Open-World]",mafia-ii
"[Action Adventure, Historic, General, Historic, Open-World]",mafia-ii-jimmys-vendetta
"[Action Adventure, Open-World]",mafia-iii
"[Action Adventure, Open-World]",mafia-iii-faster-baby!
"[Role-Playing, Action RPG, Action RPG]",mage-knight-apocalypse
"[Action Adventure, General]",mages-of-mystralia
"[Strategy, Real-Time, Fantasy, General, Fantasy]",magic-mayhem-the-art-of-magic
"[Strategy, Miscellaneous, Turn-Based, Board / Card Game, Card Battle]",magic-duels-origins
"[Strategy, Miscellaneous, Turn-Based, Card Battle, Card Battle]",magic-duels-of-the-planeswalkers-2014
"[Strategy, Miscellaneous, Turn-Based, Card Battle]",magic-duels-of-the-planeswalkers-2015
"[Strategy, Real-Time, Fantasy, General, Fantasy]",magic-the-gathering---battlegrounds
"[Strategy, Miscellaneous, Turn-Based, Card Battle, Card Battle]",magic-the-gathering---duels-of-the-planeswalkers
"[Strategy, Miscellaneous, Turn-Based, Card Battle, Card Battle]",magic-the-gathering---duels-of-the-planeswalkers-2012
"[Strategy, Miscellaneous, Turn-Based, Card Battle, Card Battle]",magic-the-gathering---duels-of-the-planeswalkers-2013
"[Strategy, Turn-Based, Fantasy, Fantasy]",magic-the-gathering---tactics
"[Strategy, Miscellaneous, Turn-Based, Card Battle, Card Battle]",magic-the-gathering-online
"[Adventure, Visual Novel]",magical-eyes---red-is-for-anguish
"[Action Adventure, Fantasy, General, Fantasy]",magicka
"[Fantasy, Action Adventure, General]",magicka-2
"[Fantasy, Action Adventure, General, Fantasy]",magicka-vietnam
"[Action Adventure, Fantasy, General]",magicka-wizard-wars
"[Sci-Fi, Adventure, 3D, First-Person]",magnetic-cage-closed
"[Miscellaneous, Puzzle, Action, Puzzle, Action]",magrunner-dark-pulse
"[Simulation, Virtual, Career]",mainlining
"[Adventure, General]",maize
"[Adventure, General, General]",majestic
"[Role-Playing, General]",majestic-nights
"[Strategy, General, General]",majesty-2-battles-of-ardania
"[Strategy, General, General]",majesty-2-kingmaker
"[Strategy, General, General]",majesty-2-monster-kingdom
"[Strategy, General, General]",majesty-2-the-fantasy-kingdom-sim
"[Strategy, General, General]",majesty-the-northern-expansion
"[Sports, Traditional, Team, Baseball, Sim, Sim]",major-league-baseball-2k11
"[Strategy, Turn-Based, Historic, General, Historic]",making-history-ii-the-war-of-the-world
"[Strategy, Turn-Based, Historic, General]",making-history-the-calm-and-the-storm
"[Action, Platformer, 2D]",maldita-castilla-ex-cursed-castilla
"[Strategy, Tycoon, Management, Tycoon, Business / Tycoon]",mall-tycoon
"[Strategy, Tycoon, Management, Tycoon, Business / Tycoon]",mall-tycoon-3
"[Sports, Traditional, Soccer, Sim, Sim]",manchester-united-soccer-2005
"[Action Adventure, Modern, General, Modern]",manhunt
"[Racing, Arcade, Automobile]",mantis-burn-racing
"[Action Adventure, Modern, General, Modern]",marc-eckos-getting-up-contents-under-pressure
"[Strategy, Real-Time, General, General]",march-of-the-eagles
"[Role-Playing, Roguelike]",march-of-the-living
"[Action, Shooter, First-Person, Historic]",marine-heavy-gunner-vietnam
"[Strategy, Tycoon, Management, Tycoon, Business / Tycoon]",marine-park-empire
"[Action, Shooter, Shooter, First-Person, Modern, Modern]",marine-sharpshooter-ii-jungle-warfare
"[Role-Playing, General, General]",mark-leung-revenge-of-the-bitch
"[Action, Platformer, Platformer, 2D, 2D]",mark-of-the-ninja
"[Action, Action Adventure, General, General, Linear]",marlow-briggs-and-the-mask-of-death
"[Role-Playing, Action RPG, Action RPG]",mars-war-logs
"[Role-Playing, Massively Multiplayer Online, Massively Multiplayer, Sci-Fi, Sci-Fi]",marvel-heroes
"[Role-Playing, Massively Multiplayer Online, Massively Multiplayer, Sci-Fi]",marvel-heroes-2015
"[Action, General]",marvels-guardians-of-the-galaxy---episode-1-tangled-up-in-blue
"[Action, General]",marvels-guardians-of-the-galaxy---episode-2-under-pressure
"[Role-Playing, Action RPG, Action RPG]",marvel-ultimate-alliance
"[Adventure, Point-and-Click]",masochisia
"[Strategy, Turn-Based, Tactics]",masquerada-songs-and-shadows
"[Role-Playing, Action RPG, Console-style RPG, Japanese-Style, Western-Style]",mass-effect
"[Role-Playing, Action RPG, Action RPG]",mass-effect-2
"[Role-Playing, Action RPG, Action RPG]",mass-effect-2-arrival
"[Role-Playing, Action RPG, Action RPG]",mass-effect-2-kasumi---stolen-memory
"[Role-Playing, Action RPG, Action RPG]",mass-effect-2-lair-of-the-shadow-broker
"[Role-Playing, Action RPG, Action RPG]",mass-effect-2-overlord
"[Role-Playing, Action RPG, Action RPG]",mass-effect-3
"[Role-Playing, Action RPG, Action RPG]",mass-effect-3-citadel
"[Role-Playing, Action RPG, Action RPG]",mass-effect-3-leviathan
"[Role-Playing, Action RPG]",mass-effect-3-omega
"[Action RPG, Role-Playing, Action RPG]",mass-effect-andromeda
"[Strategy, Turn-Based, Sci-Fi, Sci-Fi]",massive-assault
"[Strategy, Turn-Based, Sci-Fi]",massive-assault-network
"[Strategy, Turn-Based, Fantasy, General, Fantasy, Tactics]",massive-chalice
"[Strategy, Turn-Based, 4X]",master-of-orion
"[Strategy, Turn-Based, Sci-Fi, 4X]",master-of-orion-3
"[Driving, Racing, Rally / Offroad, Rally / Offroad]",master-rallye
"[Miscellaneous, Puzzle, General, Puzzle, General]",master-reboot
"[Action, Platformer, 2D]",master-spy
"[Strategy, Real-Time, MOBA]",master-x-master
