genre,url
"[Action Adventure, Linear]",assassins-creed-chronicles-russia
"[Action Adventure, Historic, Historic, Open-World]",assassins-creed-ii
"[Action Adventure, Historic, Historic, Open-World]",assassins-creed-iii
"[Action Adventure, Historic, Historic, Open-World]",assassins-creed-iv-black-flag
"[Action Adventure, Historic, Historic, Open-World]",assassins-creed-liberation-hd
"[Historic, Action Adventure, Open-World]",assassins-creed-rogue
"[Historic, Action Adventure, Open-World]",assassins-creed-syndicate
"[Action Adventure, Historic, Open-World]",assassins-creed-unity
"[Action Adventure, Historic, Historic, Open-World]",assassins-creed-brotherhood
"[Action Adventure, Historic, Historic, Open-World]",assassins-creed-directors-cut-edition
"[Action Adventure, Historic, Historic, Open-World]",assassins-creed-revelations
"[General, General, Scrolling, Action, Shooter, Shoot-'Em-Up, Top-Down]",assault-android-cactus
"[Driving, General, GT / Street, Racing, Simulation, Automobile]",assetto-corsa
"[Miscellaneous, Puzzle, Puzzle, General, General]",assimilation
"[Action, Shooter, Scrolling, Shoot-'Em-Up, Vertical, Horizontal]",astebreed
"[Puzzle, Miscellaneous, Puzzle, Puzzle, Matching, Matching]",astroslugs
"[Miscellaneous, Compilation, Compilation]",atari-anniversary-edition
"[Miscellaneous, Compilation, Compilation]",atari-revival
"[Miscellaneous, Compilation, Compilation]",atari-80-classic-games-in-one
"[Role-Playing, Japanese-Style]",atelier-sophie-the-alchemist-of-the-mysterious-book
"[Sports, Olympic Sports, Olympic Sports, Individual, Athletics]",athens-2004
"[Adventure, 3D, Sci-Fi, Sci-Fi, Third-Person]",atlantis-evolution
"[Miscellaneous, Puzzle, Puzzle, General, Matching, General]",atlantis-quest
"[Turn-Based, Action, General]",atlas-reactor
"[Strategy, Real-Time, General, General]",atom-zombie-smasher
"[Simulation, Flight, WWII, WWII, Combat]",attack-on-pearl-harbor
"[Action, Rhythm, Music]",audioshield
"[Action, Miscellaneous, Rhythm, Music, Music]",audiosurf
"[Miscellaneous, Music, Action, Rhythm, Music]",audiosurf-2
"[Adventure, First-Person, Fantasy, Fantasy]",aura-fate-of-the-ages
"[Action, General, Role-Playing, Action RPG]",aurion-legacy-of-the-kori-odan
"[Strategy, Wargame, Real-Time, Real-Time]",austerlitz-napoleons-greatest-victory
"[Role-Playing, Massively Multiplayer Online, Massively Multiplayer, Sci-Fi, Sci-Fi]",auto-assault
"[Role-Playing, General, General]",avadon-2-the-corruption
"[Role-Playing, PC-style RPG, PC-style RPG, Western-Style]",avadon-the-black-fortress
"[Strategy, Management, Government]",aven-colony
"[Role-Playing, Action RPG, Action RPG]",avencast-rise-of-the-mage
"[PC-style RPG, Role-Playing, Western-Style]",avernum-2-crystal-souls
"[Role-Playing, General, General, Western-Style]",avernum-escape-from-the-pit
"[Adventure, Visual Novel]",aviary-attorney
"[Action, Strategy, Real-Time, Fighting, 2D, MOBA, MOBA]",awesomenauts
"[Action Adventure, Sci-Fi, Sci-Fi, General]",axiom-verge
"[Strategy, Real-Time, Military, General, Military]",axis-allies
"[Sports, Individual, Nature, Hunting, Hunting]",cabelas-dangerous-hunts
"[Strategy, City Building, Management, Historic, Historic, Government]",caesar-iv
"[Adventure, 3D, First-Person]",calendula
"[First-Person, Adventure, 3D]",californium
"[Role-Playing, General, General]",call-for-heroes-pompolic-wars
"[Action Adventure, Horror, Horror, Survival]",call-of-cthulhu-dark-corners-of-the-earth
"[Action, Shooter, Shooter, First-Person, Third-Person, Historic, Tactical, Historic, Arcade]",call-of-duty
"[Action, Shooter, Shooter, First-Person, Historic, Historic, Arcade]",call-of-duty-2
"[Action, Shooter, Shooter, First-Person, Modern, Modern, Arcade]",call-of-duty-4-modern-warfare
"[Action, Shooter, First-Person, Modern, Arcade]",call-of-duty-advanced-warfare
"[Action, Shooter, Shooter, First-Person, Historic, Historic, Arcade]",call-of-duty-black-ops
"[Action, Shooter, Shooter, First-Person, Historic, Modern, Arcade]",call-of-duty-black-ops-ii
"[Action, Shooter, First-Person, Arcade]",call-of-duty-black-ops-iii
"[Action, Shooter, Shooter, First-Person, Modern, Modern, Arcade]",call-of-duty-ghosts
"[Action, Shooter, First-Person, Tactical]",call-of-duty-infinite-warfare
"[Action, Shooter, Shooter, First-Person, Modern, Modern, Arcade]",call-of-duty-modern-warfare-2
"[Action, Shooter, Shooter, First-Person, Modern, Modern, Arcade]",call-of-duty-modern-warfare-3
"[Arcade, Action, Shooter, First-Person, Tactical]",call-of-duty-modern-warfare-remastered
"[Action, Shooter, Shooter, First-Person, Third-Person, Historic, Tactical, Historic, Arcade]",call-of-duty-united-offensive
"[Action, Shooter, Shooter, First-Person, Historic, Historic, Arcade]",call-of-duty-world-at-war
"[Action, Shooter, Shooter, First-Person, Historic, Historic, Arcade]",call-of-juarez
"[Action, Shooter, Shooter, First-Person, Historic, Historic, Arcade]",call-of-juarez-bound-in-blood
"[Action, Shooter, Shooter, First-Person, Historic, Historic, Arcade]",call-of-juarez-gunslinger
"[Action, Shooter, Shooter, First-Person, Historic, Modern, Modern, Arcade]",call-of-juarez-the-cartel
"[Strategy, Turn-Based, Historic, General, Historic]",call-to-power-ii
"[Action Adventure, General]",calvino-noir
"[Action, Platformer, Platformer, 2D, 2D]",candle
"[Strategy, Real-Time, General, General]",cannon-brawl
"[Strategy, Real-Time, Military, General, Military]",cannon-fodder-3
"[Strategy, Tycoon, Management, Tycoon, Business / Tycoon]",capitalism-ii
"[Action, Platformer, Platformer, 2D, 2D]",capsized
"[Adventure, General, General, Point-and-Click]",captain-morgane-and-the-golden-turtle
"[Simulation, General, Virtual, Career]",car-mechanic-simulator-2014
"[Sim, Simulation, Virtual, Career]",car-mechanic-simulator-2015
